Restaurant_ID	Name	Chef	Country_Region	Cuisine_Type	Awarded_Since	Average_Price	Gourmet_ID	Favorite_Cuisine	Favorite_Restaurant	Travel_Destination	Average_Budget
1	Amador	Juan Amador	1	9	2019-01-01	265					
2	Hof van Cleve	Peter Goossens	2	11	2005-01-01	530	7	11	2	5	430
3	Zilte	Viki Geunes	2	11	2021-01-01	330	3	4	3	19	400
4	Xin Rong Ji	Zhang Yong	3	26	2020-01-01	285					
5	King's Joy	Gary Yin	3	28	2021-01-01	200					
6	Ultraviolet	Paul Pairet	3	15	2018-01-01	1265					
7	Geranium	Rasmus Kofoed	4	9	2016-01-01	375					
8	Noma	Rene Redzepi	4	11	2021-01-01	375					
9	Le Clos de Sens	Laurent Petit	5	11	2019-01-01	238					
10	Maison Lameloise	Eric Pras	5	21	2007-01-01	260					
11	Le 1947 at Cheval Blanc	Yannick Alleno and Gerard Barbin	5	21	2017-01-01	395					
12	Les Pres d'Eugenie - Michel Guerard	Michel Guerard	5	7	1977-01-01	295					
13	L'Auberge du Vieux Puits	Gilles Goujon	5	11	2010-01-01	225					
14	Christopher Coutanceau	Christopher Coutanceau	5	24	2020-01-01	265					
15	Christophe Bacquie	Christophe Bacquie	5	21	2018-01-01	295					
16	L'Oustau de Baumaniere	Glenn Viel	5	21	2020-01-01	240					
17	Rene et Maxime Meilleur	Rene and Maxime Meilleur	5	23	2015-01-01	389					
18	AM par Alexandre Mazzia	Alexandre Mazzia	5	11	2021-01-01	395					
19	Le Petit Nice	Gerald Passedat	5	24	2008-01-01	430					
20	Flocons de Sel	Emmanuel Renaut	5	11	2012-01-01	280					
21	Mirazur	Mauro Colagreco	5	11	2019-01-01	380					
22	Le Louis XV - Alain Ducasse a l'Hotel de Paris	Franck Cerutti and Dominique Lory	5	19	1990-01-01	380					
23	Le Bois sans Feuilles - Troisgros	Michel and Cesar Troisgros	5	11	1968-01-01	330					
24	Kei	Kei Kobayashi	5	21	2020-01-01	340					
25	L'Ambroisie	Bernard Pacaud	5	7	1988-01-01	330					
26	Guy Savoy	Guy Savoy	5	11	2002-01-01	530	14	11	26	14	295
27	Arpege	Alain Passard	5	11	1996-01-01	460					
28	Alleno Paris au Pavillon Ledoyen	Yannick Alleno	5	11	2015-01-01	395					
29	Epicure	Eric Frechon	5	11	2009-01-01	395					
30	Le Cinq	Christian Le Squer	5	21	2016-01-01	380					
31	Le Pre Catelan	Frederic Anton	5	21	2007-01-01	330					
32	Regis et Jacques Marcon	Regis and Jacques Marcon	5	11	2005-01-01	240					
33	La Vague d'Or	Arnaud Donckele	5	21	2013-01-01	375					
34	L'Assiette Champenoise	Arnaud Lallement	5	11	2014-01-01	335					
35	Georges Blanc	Georges Blanc	5	7	1984-01-01	320					
36	Restaurant Bareiss	Claus-Peter Lumpp	6	8	2008-01-01	335					
37	Rutz	Marco Müller	6	21	2020-01-01	245					
38	Waldhotel Sonnora	Clemens Rambichler	6	8	1999-01-01	249					
39	The Table	Kevin Fehling	6	11	2016-01-01	230					
40	Victor's Fine Dining by Christian Bau	Christian Bau	6	11	2005-01-01	295					
41	Restaurant Uberfahrt	Christian Jurgens	6	11	2014-01-01	319					
42	Temporare Schwarzwaldstube	Torsten Michel	6	8	2021-01-01	265					
43	Aqua	Sven Elverfeld	6	21	2009-01-01	225					
44	Lung King Heen	Chan Yan Tak	7	5	2009-01-01	345					
45	8 1/2 Otto e Mezzo - Bombana	Umberto Bombana and Keith Yam Ka Lok	7	16	2012-01-01	240					
46	L'Atelier de Joel Robuchon	David Alves	7	14	2012-01-01	300					
47	Forum	Yeung Koon Yat	7	5	2020-01-01	232					
48	Sushi Shikon	Yoshiharu Kakinuma	7	25	2014-01-01	405					
49	T'ang Court	Kwong Wai Keung	7	5	2016-01-01	212					
50	Caprice	Guillaume Galliot	7	14	2019-01-01	300	12	14	50	4	342
51	Jade Dragon	Kelvin Au Yeung	7	5	2019-01-01	225					
52	Robuchon au Dome	Julien Tongourian	7	14	2009-01-01	395					
53	The Eight	Cheung Tan-leung	7	5	2014-01-01	338					
54	Piazza Duomo	Enrico Crippa	8	21	2013-01-01	300					
55	Da Vittorio	Vittorio Cerea	8	9	2010-01-01	380	6	9	55	8	350
56	Dal Pescatore	Nadia Santini	8	16	1996-01-01	300					
57	Reale	Niko Romito	8	9	2014-01-01	220					
58	Enoteca Pinchiorri	Annie Feolde, Italo Bassi, and Riccardo Monco	8	21	1993-01-01	345					
59	Enrico Bartolini al Mudec	Enrico Bartolini	8	15	2020-01-01	300					
60	Osteria Francescana	Massimo Bottura	8	11	2012-01-01	320					
61	La Pergola	Heinz Beck	8	9	2005-01-01	290					
62	Le Calandre	Massimiliano Alajmo	8	11	2002-01-01	225					
63	St. Hubertus	Norbert Niederkofler	8	1	2018-01-01	365					
64	Uliassi	Mauro Uliassi	8	24	2019-01-01	220	10	24	64	9	450
65	Hyotei	Yoshihiro Takahashi	9	17	2010-01-01	487					
66	Kikunoi Honten	Yoshihiro Murata	9	17	2010-01-01	486					
67	Mizai	Hitoshi Ishihara	9	17	2014-01-01	380					
68	Maeda	Yujiro Maeda	9	17	2020-01-01	373					
69	Gion Sasaki	Hiroshi Sasaki	9	17	2020-01-01	281					
70	Kashiwaya	Hideaki Matsuo	9	17	2011-01-01	327					
71	Taian	Hitoshi Takahata	9	17	2011-01-01	152					
72	Hajime	Hajime Yoneda	9	15	2018-01-01	410					
73	Quintessence	Shuzo Kishida	9	13	2008-01-01	266					
74	L'Osier	Olivier Chaignon	9	13	2019-01-01	335					
75	Ryugin	Seiji Yamamoto	9	17	2012-01-01	373					
76	Sushi Yoshitake	Masahiro Yoshitake	9	25	2012-01-01	289					
77	Makimura	Makimura Akio	9	17	2015-01-01	205					
78	Kohaku	Koji Koizumi	9	17	2016-01-01	327					
79	L’Effervescence	Shinobu Namae	9	13	2021-01-01	259					
80	Sazenka	Tomoya Kawada	9	6	2021-01-01	555	15	6	80	7	500
81	De Librije	Jonnie Boer	10	21	2004-01-01	232					
82	Inter Scaldes	Jannis Brevet	10	21	2018-01-01	380					
