Name	Chef	Awarded_Since
Le Bois sans Feuilles - Troisgros	Michel and Cesar Troisgros	1968
Les Pres d'Eugenie - Michel Guerard	Michel Guerard	1977
Georges Blanc	Georges Blanc	1984
Waterside Inn	Alain Roux	1985
L'Ambroisie	Bernard Pacaud	1988
Arzak	Juan Mari Arzak and Elena Arzak	1989
Le Louis XV - Alain Ducasse a l'Hotel de Paris	Franck Cerutti and Dominique Lory	1990
Restaurant de l'Hotel de Ville	Franck Giovannini	1992
Enoteca Pinchiorri	Annie Feolde, Italo Bassi, and Riccardo Monco	1993
Arpege	Alain Passard	1996
Dal Pescatore	Nadia Santini	1996
Waldhotel Sonnora	Clemens Rambichler	1999
